0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
IATA_airport_code,Location_identifier,Airport,Aerodrome,Aircraft,Vehicle,Latin_language,Classical_language,George_L._Hart,Tamil_language,Sri_Lanka,Island_country,Country,Earth,Planet
Korean_language,First_language,Language,Communication,Information,Abstraction,Rule_of_inference,Premise,Proposition,Philosophy_of_language,Philosophical,,,,
